name:full;birth:location;birth:year;education:location:0;education:year:0;education:location:1;education:year:1;education:location:2;education:year:2;position:job:0;position:job_location:0;position:job_year:0;position:job:1;position:job_location:1;position:job_year:1;position:job:2;position:job_location:2;position:job_year:2;position:job:3;position:job_location:3;position:job_year:3;position:job:4;position:job_location:4;position:job_year:4;position:job:5;position:job_location:5;position:job_year:5;position:job:6;position:job_location:6;position:job_year:6;position:job:7;position:job_location:7;position:job_year:7;position:job:8;position:job_location:8;position:job_year:8;position:role;position:role_location;position:role_year
Victor L;Shanghai;1878;St. John's University;1891-95;Anglo-Chinese School;1895;Shanghai;1891-95;Assistant Accountant;Ta-Ching Govern- ment Bank, Peking;1911;Auditor, Bureau of Audit;_;1913-14;Deputy Auditor, Board of Audit;_;1914;Commerce;Albany Business College;1908-11;Bank;_;_;Economics;Union College;1907-8;_;_;_;_;_;_;_;_;_;_;_;_
Chao, Guok-Tsai;Shanghai;1879;St. John's University;_;Shanghai;_;_;_;Director;_;October, 1915 to April, 1916;Vice-President;Tsing Hua College, Peking;1913;Mission;Washington, D. C., U. S. A;October, 1915 to April, 1916;Acting;Chinese Educational Mission;October, 1915 to April, 1916;Teacher;Fu Tan College, Shanghai;1911;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chao, Tien-Lin;Tientsin;1886;Putung School;1901-2;Peiyang University;1904-6;Tientsin;1901-2;Professor of Political Science and Economics;Peiyang University, Tientsin;1912-14;President, Peiyang University;Tientsin;1914;Officer: Harvard Chinese Students' Club;_;1908-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chiu, Yan-Tsz;Canton;1890;British government school;1901-3;Hongkong;1901-3;a;1901-3;Teacher;Cantion Christian College, Canton;1915;Secretary, New York Chinese Students' Club;_;1914-15;1915;_;_;College;Boone's University School;1909-10;Associate General Secretary, Chinese Students' Christian Association;_;1913-14;Chemistry;University of California;1914- 15;China;_;August, 1915;August;1915;1915;_;_;_;_;_;_
Jeu, Hawk;Sing-Hui, Kwangtung;1866;Drake University;_;Theology;_;_;_;Resident Surgeon;Tung Wah Hospital, Hongkong;1902-10;Medical Practitioner;Hongkong;1910;Medicine;University of Oregon;1896-1900;Member, Barean Society, 1887-92. Returned to China;_;1887-92;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Jue, Park;Tai-Shan, Kwangtung;1884;University of Indiana;_;Industrial Chemistry;_;_;_;China;_;June, 1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsao, Chin-Kien;Huchow, Chekiang;1881;Nanyang College;_;University of Pennsylvania;1908-11;Shanghai;_;Junior Clerk, Ministry of Communications;_;_;Commerce;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsun, Swei;Nanchang, Kiangsi;1885;Kiangsi Provincial College;_;Government University;_;_;_;Editor, Chinese Students' Quarterly;_;1914-15;Economics;University of Wisconsin;1913-15;Member: Chinese Students' Club;_;1913-15;Alliance;_;1913-16;China;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Young, Samuel S;San Francisco;1884;Trinity School;_;University of California;_;_;_;Professor of Modern Languages;Canton;1906-8;Ministry of Education;Peking;1908-11;Commission to the Panama Pacific International Exposition;_;1912-13;Chief of Department;National Oil Administration, Peking;1914-17;Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liu, Fung Hin;Canton;1890;Lon- don Mission Girls' School;1900-2;Canton Christian College;1905-9;Macao Girls' School;1902-5;Principal;Canton Christian College;1916;Acting;Canton Christian College;_;School;Lon- don Mission Girls' School, Hongkong;1900-2;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yih, Koliang;Foochow;1879;Anglo-Chinese College;_;St. Xavier's College;_;_;_;Instructor;Foochow College;1902-4;Senior Clerk, Ministry of Foreign Affairs;_;1911-14;Director;Agricultural College, Peking;1911-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Char, Kwang-Yi;Shanghai;1889;St. John's University;_;Shanghai;_;_;_;Professor of Civil Engineering;St. John's University, Shanghai;1913-14;Assistant Engineer;Pukow Commercial Port, Nanking;1914-15;Assistant Engineer;Pukow Commercial Port, Nanking;1914-15;Vice-President;Cosmopolitan Club;1911-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Choy, Jun-Ke;Honolulu;1892;McKinley High School;1908-11;_;_;_;_;Director of Foreign Affairs;Military Government, Kwangtung;1916;President, Columbia Chinese Students' Club;_;1913;Assistant Editor, Peking Post;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsai, Hsiang;Hankow, Hupeh;1890;Boone College;1906-10;Tsing Hua College;1911;Wuchang;1906-10;Assistant Engineer;Golden Cycle Mining Co;1915;Surveyor;Colorado Mining Co;1914;Mining Engineer;Colorado School of Mines;1911-15;Member, American Institute of Mining Engineers;_;1915;Metallurgy;Columbia University;1915-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsai, Kuo-Tsao;Canton;1909;Cornell University;_;Civil Engineering;_;_;_;Locomotive;Tientsin-Pukow Railway;1914;Railway;Tientsin-Pukow;1914;Superinten- dent;Tientsin-Pukow Railway;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsai, Ping-Ye;Changchow, Kiangsu;1889;Nanyang College;1902-7;Shanghai;1902-7;Cornell University;1907-11;Engineer;_;1913-14;Draftsman;American Bridge Co;1911-14;Junior Superintendent;Standard Oil Company, Shanghai;1915;Draftsman;American Bridge Co;1911-14;Charge;Nanking-Hunan Railway, Nanking;1915-16;Railway;Shanghai-Nanking Railway, Snanghai;_;Bridge Draftsman;Shanghai-Nanking Railway, Snanghai;1914;_;_;_;_;_;_;_;_;_
Tsai, T. K.;Kwang-Tsi, Hupeh;1868;William Nast College;1890;William Nast College;1890;Kiukiang;1890;Teacher;William Nast College, Kiukiang;1905-12;Principal, Foochow High School;_;1915-16;China;_;July, 1905;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsai, Ting-Kan;Hsiangshan, Kwangtung;1861;Chinese Educational Mission School;1872-73;Hartford Gram- mer School and New Britain High School;_;Shanghai;1872-73;Captain of a torpedo boat;_;1884;Torpedo School;Taku;1881-84;Commodore of the Torpedo Fleet;_;1892;Vice-Admiral;_;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Cheng;Hsiangshan, Kwangtung;1886;Massachusatts Agricultural College;1908;_;_;_;_;Commerce;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Cheng, Holt;Hsiangshan, Kwangtung;1878;_;_;_;_;_;_;Dean, Military Medical College;Canton;1905-11;Chief Physician;Chung His Hospital, Nanking;1905-6;Surgeons;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tseng, T. F.;Wukiang, Kiangsu;1887;Fu Tan College;_;Cornell University;1906-13;Shanghai;_;Teacher;_;_;China;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Cheng, Yun-Tin;Hongkong;1890;St. Steph- en's College;1904-9;University of London;1910-11;Hongkong;1904-9;Export Manager;Messrs. Yee-Kee Hong, Hongkong;1916;Railway Transportation;University of Illinois;1913-15;China;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Dunn, Frank B.;Wusih, Kiangsu;1886;St. John's University;1904-5;Nanyang College;1905-11;Shanghai;1904-5;Supervising Electrical Engineer;Hunan Telephone Administration, Changsha;1915;Electrical Engineer;Shanghai;1914-15;Associate Member, American Institute of Electrical Engineers;_;1913;Electrical Engineer;Shanghai;1914-15;Editor;Chung Hwa Industrial World;_;Electrical Engineering;Ohio State Universi- ty;1914-15;Engineer;_;_;Charge;Wusih Teleghone Co., Wusih;1916;_;_;_;_;_;_
Tang, Tsie-Yee;Canton;1887;Shih Min School;1901-5;Canton;1901-5;Educational Mission School;1906-7;Professor of Analytical Chemistry;_;_;Teacher in Analytical Chemistry;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lau, Waan-Wai;San Francisco;1891;Canton Christian College;_;Cornell University;_;_;_;Teacher;Tsing Hua College;1916;Military Science and Engineering;Fort Leavenworth;1915-16;College;Canton Christian College;1905-9;Graduated from Army Service School;Fort Leavenworth;1916;Member, American University Club;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lew, Yuk-Lin;Hsiangshan, Kwangtung;1862;Educational Mission School;_;Phillips Academy;1874;Shanghai;_;Vice-Minister of Foreign Affairs;_;1909;Consul- General;the Strait Settlement;1885;tutor to Li Hung-Chang's family. Translator;_;1882;Acting;Consul- General;_;Charge d'Affaires;Brussels;1902;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Dakuin K.;Hui-An, Kiangsu;1890;Y.M.C.A. School;1906-8;Shanghai;1906-8;Government University;1910;Teacher;Tsing Hua College, Peking;1916;College;Shanghai;1906-8;Secretary, Kiangsu Educational Association;Shanghai;1915;Economics;University of Michigan;1911-15;English;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liu, Ching-Shan;Tientsin;1885;Putung School;1901-2;Peiyang University;1903-5;Tientsin;1901-2;Director of the Bureau of Post Accounts;Ministry of Com- munications;1916;Director of the Bureau of Railway Accounts. Ministry of Communications;_;1913-16;Professor, Commercial College;Tientsin;1912;Senior Clerk;_;1916;Ministry of Com- munications;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liu, Jui-Heng;Tientsin;1889;Anglo-Chinese College;1901-3;Peiyang University;1903-6;Tientsin;1901-3;Instructor in Surgery;Harvard Medical School, Shanghai;1915-16;Medicine;Harvard Medical School;1909-13;Surgeon;Red Cross General Hospital, Shanghai;1916;Surgical Interne and House Surgeon;Boston City Hospital;1913-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liu, K. S;Nanking;1887;University of Nanking;_;the;_;_;_;Professor of Philosophy;University of Nanking and Government Teachers' College, Nanking;1916;Vice-President;Cosmopolitan Club;1913-15;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Owyang, Kee;Hsiangshan, Kwangtung;1867;New York University;_;Jurisprudence;_;_;_;Vice- Consul;San Francisco;1907;Director of Foreign Affairs Department;Chinese Commission to the Panama Pacific International Exposition;1915-16;Consul-General;San Francisco;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Owyang, Kee;Los Angeles, California;1910-13;University of Arizona;1910-13;Pacific College and Conservatory;1913-14;the;1910-13;Private support;_;1915;Conservatory;Pacific College;1913-14;China;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Owyang;Canton;1885;University of California;1906-7;University of Chicago;1907-8;Commerce;1906-7;Managing Director;Kwangtung Provincial Bank, Canton;1913;Ministry of Finance;Peking;1914;Assistant Accountant;Shang- hai-Nanking;1914-16;Member;Ministry of Finance;_;Bank;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Pan, Wen-Huan;Peking;1890;St. John's University;_;Shanghai;_;_;_;English Secretary;Tsing Hua College, Peking;1912;Tsing Hua College;Peking;1912;Civil Engineering;University of Michigan;_;Member, Engineering Society;_;1914-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chien, Fang-Shih;Changchow, Kiangsu;1886;Putung Middle School;1900-3;Peiyang University;1903-5;Tientsin;1900-3;District Inspector of Salt Revenues;Yunnan;1914-15;Business Manager;Chinese Students' Monthly;1909-10 and 1911-12;Assistant English Secretary;Chief Inspectorate of Salt Revenues;1913-14;Sub- Manager;Bank of China, Hankow;1913;Business Administration;_;1910-12;Chief Inspectorate of Salt Revenues;Peking;1915;Chinese Students' Monthly;_;1909-10;Chief Inspectorate of Salt Revenues;Peking;1915;_;_;_;_;_;_
Chien, H. T.;Chekiang;_;St. John's University;_;Shanghai;_;_;_;Member, Salt Administration;Peking;1914;China;_;1914;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chien, Sung-Shu;Shanghai;1904-7;Nanyang College;1904-7;Chihlih Provincial College;1909-10;Shanghai;1904-7;Teacher;First Provincial Agricultural College, Nanking;1916;Botany;University of Illinois;1910-14;First Provincial Agricultural College;Nanking;1916;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lo, King-Tai;Canton;1886;Canton Christian College;_;Canton Christian College;_;_;_;Highway Engineering;Columbia University;1914-15;Student Engineer;Peking Kalgan Railway, Kalgan;1916;Engineering;Rensselaer Polytechnic Institute;_;Testing Staff, N. Y. State Highway Commission;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lu, Shou-Wên;Foochow;1890;Anglo-Chinese College;_;Customs College;_;_;_;Customs House;_;_;Assistant;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Moh, H. Y;Shanghai, Kiangsu;1876;private schools;_;Studied;_;_;_;Police;Kiangsu Railway Co;1907-8;Managing Director;Shanghai;1916;Agriculture;_;1909-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sen, Janshi;Che-Chin, Kweichow;1881;Government University;1905-8;Peking;1905-8;Studied;1905-8;Engineer, Hunan Mining Company;_;1915;Teachers' College;Kweiyang;1909;Mining;_;1910-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chung, C. P.;Tientsin;1891;Hongkong;1902-6;Studied Liberal Arts at Colgate University;1909-11;Hongkong;1902-6;Dean and Teacher;Army Medical College, Tientsin;1915;Army Medical College;Tientsin;1915;Pharmacy;Medical College of Virginia;1911-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chung, Daniel M;Tientsin;1889;Yale University;_;Electrical Engineering;_;_;_;Draftsman;Shanghai-Nanking Railway, Shanghai;1913;Associate Member, American Institute of Electrical Engineers;_;1911-13;Director, Locomotive Department;Tientsin- Pukow Railway;1915;Student Engineer;Electrical Department, Shanghai Municipal Council;1914-15;Chinese Students' Alliance;_;1911-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chung, Mon-Yin;Honolulu;1889;Punahou School;1907-9;Yale University;1909-12;Columbia University;1912-13;Assistant Engineer;Hanyang Iron and Steel Works;1915;Columbia University;_;1912-13;Works;Carnegie Steel Co;1915;Mining;_;_;China;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chung, Shih-Ming;Tientsin;1880;Peiyang University;_;Putung Middle School;_;_;_;Teacher of English;Chihli Industrial College, Tientsin;1911-13;Secretary;_;1916;Chief Inspectorate of Salt Revenues;Peking;1913-15;Director;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chung, Wen-Pang;Hsiangshan, Kwangtung;1873;Anglo-Chinese College;_;Shanghai;_;_;_;Instructor, Army Medical College;Tientsin;1902-3;Medical Practitioner;Shanghai;1913;Army Surgeon;Tientsin;1898-1902;Director, Army Hospital;Canton;1908-9;Chief Medical Officer;Tsinan and Nanking Hospitals;1908-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Fong, F. Sec;Sunning, Kwangtung;1870;Pomona College;1897-1902;University of California;1902-5;college;1897-1902;Teacher of English;Chin Shih, 1907. Teacher of English: College of Languages, Canton;1906-8;College of Languages;Canton;1906-8;Dean;National Institute, Woosung;1910-11;Editor;_;_;English Editor;Shanghai;_;Education;Pomona College;1905-6;Teachers;_;1905-6;_;_;_;_;_;_;_;_;_
Fong;Sunning, Kwangtung;1887;Scotch College;1903-6;Public School;1897-1903;Geraldton, Western Australia;1897-1903;Pharmacy;Philadelphia College of Pharmacy;1910-13;Manager;Chung Mei Drug Co;1913;Chemist;_;_;Pharmacy;Philadelphia College of Pharmacy;1910-13;Member, Club Concordia;Canton;1915;support;_;August, 1910;_;_;_;_;_;_;_;_;_;_;_;_
Khong, Loy;Kwala Lumpur, Selangor, Malay Peninsula;1887;Victoria Institute;_;Kwala Lumpur;_;_;_;Assistant Master;Victoria Institute, Kwala Lumpur;1905-6;Instructor, Government Law School;Canton;1913;Chief Translator;Kwangtung Commission;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kuang, Ying-Chieh;Sunning, Kwangtung;1886;Canton Christian College;1901-3;Peiyang University;1904-10;Canton;1901-3;Mining and Metallurgy;Columbia University;1912-13;Representative to the International Engineer- ing. Congress;San Franciso;1915;Member, Hanlin Academy;_;1911;Member, American Association for Ad- vancement of Science;_;1916;College;Canton Christian College;1901-3;Member, American Institute of Mining Engineers;_;1913;Chinese;_;1916;Studied;Canton Christian College;1901-3;_;_;_;_;_;_
Kwong, Hsu-Kun;Canton;1892;St. John's University;1907-9;Princeton University;1910-14;Shanghai;1907-9;President, Chinese Students' Alliance;_;1915-16;Correspondent of The New York Evening Post;_;1916;Journalism;Columbia University;1915-16;Member of Staff;The Springfield Republican;1913;Delegate to the International Press Congress;Panama Pacific Exposition;1916;Newspaper's Enterprise Association;_;1915;Editor;Columbia University;1915-16;_;_;_;_;_;_;_;_;_
Kwong. K. Y;Canton;1862;private school;1868-73;Canton;1868-73;a;1868-73;Assistant Engineer;Peking-Mukden and Peking-Kalgan Railways;1892-1905;Engineer in Chief;Canton-Hankow Railway, Canton;1905-12;Railway Student;Shanhaikwan-Tientsin Railway;1885-91;Member, Society of Civil Engineers;_;1905;Civil Engineering;Mas- sachusetts Institute of Technology;1880-81;China;_;September, 1881;Railways;_;_;_;_;_;_;_;_;_;_;_
Hsieh, En-Lung;Canton;1884;Queen's College;1900-4;Peiyang University;1904-6;Hongkong;1900-4;Ministry of Agriculture and Commerce;_;_;Technical Expert;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Shae, Shaoying;Wusih, Kiangsu;1881;Nanyang College;_;Shanghai;_;_;_;Professor of Railway Engineering;Nanyang College, Shanghai;1912;Professor, College of Finance;Peking;1911;School;Nanyang College, Shanghai;1898-1903;Assistant Engineer;Canton-Hankow Railway;1912;Attaché;Imperial Commission to Europe and America;1905;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tse, Tsok-Kai;Hsiu-Hui, Kwangtung;1887;Queen's College;_;Hongkong;_;_;_;Inspector, Ministry of Agriculture and Forestry;_;1912;Director, Mining Bureau, Canton, 1912-15. Assistant Manager;Canton;1914;Instructor, College of Communications;Peking;1912;College;Hongkong;1898-1903;Mining Engineer;Vulture Mining Co;1909-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Pu, Teng-Ching;Shanghai;1877;Peiyang University;_;Hui Ying School;_;_;_;Engineer;Chekiang Railway Co., Hangchow;_;Chief Engineer;Hangchow-Ningpo Railway, Ningpo;1911-14;Construction Engineer;Hangchow-Kashing Railway;1908-10;General Manager;Shanghai-Hangchow-Ningpo Railway;1910-11;Engineer;Chekiang Railway Co., Hangchow;_;President, Chinese Institute of Engineers;_;1913-17;Chekiang Railway Co., Hangchow;_;1907-8;_;_;_;_;_;_;_;_;_
Sy, Eng-Su;Kimmoy, Fukien;1890;Anglo-Chinese College;1906-10;private schools at Kimmoy;1899-1903;Cebu Chinese School;1903-6;Teacher;Talmage College, Amoy;1916;Secretary, Cosmopolitan Club and Chinese Students' Club, 1915. Associate Editor;_;1915;College;Foochow;1899-1903;1916;_;_;College;Foochow;1899-1903;December;_;1916;_;_;_;_;_;_;_;_;_;_;_;_
Han, Ngan;Chao-Hsien;1882;University of Nanking;_;the;_;_;_;Senior Clerk, Ministry of Agriculture and Forestry;_;1912-14;Director, Bureau of Forestry;Kirin;1912;Director;Bureau of Forestry, Kirin;_;Assistant;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Han, Ngan;Kiangsi;January, 1907;Wells College;1907-11;Columbia University;1911-12;Liberal Arts;1907-11;Sociology;Columbia University;1911-12;Education;Columbia University;_;China;_;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Jui, Pao-Vung;Shanghai, Kiangsu;1887;St. John's University;1901-6;Shanghai;1901-6;Yale University;1906-9;Professor of Mining Engineering;_;_;Mining Engineer and Metallurgist;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sah, Fuchuen K.;Foochow;1886;St. John's University;1897-1902;Purdue University;1906-10;Shanghai;1897-1902;Student Engineer;Canton-Hankow Railway;October, 1910;Assistant Engineer;Szechuen-Hankow Railway;1914;Civil Engineering;_;_;Railway;_;_;Senior;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wei Wen-Pin;Mie-Yun, Chihli;1887;Peking Methodist University;1898-1908;_;_;_;_;President: Chinese Students' Alliance;_;_;Third Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yen, Lien-Ching;Shanghai;1889;McTyeire School;_;Knickerbocker Hall College;_;_;_;China;_;1911;College;Knickerbocker Hall College;1907-10;Studied Liberal Arts;Knickerbocker Hall College;1907-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yen, Te-Ching;Shanghai;1878;Anglo-Chinese School;1889-93;Tung Wen College;1893-95;Shanghai;1889-93;Engineer;Canton-Hankow Railway;_;Councillor, Ministry of Communications;Peking;1912;Consulting Engineer, Imperial Railway Administration, Shanghai, 1904. Assistant Engineer;_;1904;Chief Engineer;Szechuen Railway Company, I-Chang;1901-11;Assistant;Shanghai- Nanking Railway, Nanking;1905;Managing Director;Canton-Hankow Railway, Wuchang;1912-15;Engineering;University of Virginia;1898-99;Assistant Engineer;Shanghai- Nanking Railway, Nanking;1905;Canton-Hankow Railway;Wuchang;1902-4;_;_;_
Yen, W. W.;Shanghai;1876;St. John's University;1891-93;Anglo-Chinese College;1891-93;Tung Wen College;1893-95;Councillor, Ministry of Foreign Affairs;_;1911;Teacher;St. John's University, Shanghai;1900-7;Minister to Berlin;_;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kuan, Chinglin;Shanghai;1890;Cantonese Guild's School;1901-4;Nanyang College;1904-6;Shanghai;1901-4;Ministry of Foreign Affairs;San Francisco;1916;Assistant Consul;Soerabaya, Java;1914-16;Member;American Chemical Society;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kwan, Yan-Cho;Canton;1886;Canton Christian College;1901-8;Pei-Ying School;1897-1900;Canton Christian College;1901-8;Instructor in English;Canton Christian College;1906;Instructor;Canton Christian College;1912;Editor;Canton Christian College Magazine;1916;Canton Christian College;Canton;1901-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chienho Chungchen;Foochow;1880;Peiyang University;1890;Tien- tsin;1890;Preparatory Department;1890;Teacher, College of Communications;Peking;1912;Teacher;Kwang Ping Middle School;1903-4;Dean, Tangshan Railway and Engineering College;Tangshan;1914-6;School;Peiyang University, Tien- tsin;1890;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lo, Pan K;Kwangtung;1881;Queen's College;1896-98;Honkong;1896-98;Queen's College;1896-98;Assistant Master;Peiyang University, Tientsin;1900-3;Commissioner of Foreign Affairs;_;1913;Instructor;Peiyang University, Tientsin;1903-6;Vice-President, Chinese Student's Alliance;_;1907-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lo, Ren-Yen;Kiukiang;1890;William Nast College;_;Kiukiang;_;_;_;Teacher and Proctor;_;_;Ph;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Loo, Wai-Gyiao;Ningpo, Chekiang;1888;Ningpo High School;_;Shanghai Technical College;_;_;_;Ministry of Navy;Peking;1915;Instructor;Ningpo High School;1907-8;Special Deputy;_;August, 1915;Draftsman;N.Y. Ship Building Co;1915;School;Ningpo High School;1905-7;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tan, Chee-Tseng;Yung-Kiang, Szechuen;1890;Hua-Yung Middle School;1904-8;Szechuen Provincial College;1908-10;Tsing Hua College;1910-11;Economics;_;1911-16;College;Szechuen Provincial College, Chengtu;1904-8;Studied;Hua-Yung Middle School;1904-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tang, Ilien Joyce;Kiukiang;1880;Rulison High School;1888-98;_;_;_;_;Vice-Principal;_;1909;Teacher;Baldwin School, Nanchang;1906;Theology;Folt Mission Institute;1901-2;Kindergarten Training School;Minneapolis;1899-1901;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tang, John Fu;Kiukiang;1887;Tung Wen Academy;1897-1900;University of Nanking;1900-1;William Nast College;1902-7;Teacher;Government Middle School, Kiukiang;1905-7;Assistant;William Nast College, Kiukiang;1905-7;Professor of Law;Shansi University, Tai-Yuan-Fu;1916-17;Teacher;Government Middle School, Kiukiang;1905-7;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Taam, Sik-Hung;Taishan, Kwangtung;1888;Canton Christian College;_;Canton;_;_;_;Teacher;Canton Christian College, Canton;1916;Treasurer, Cosmopolitan Club;_;1913-14;Agriculture;Pennsylvania State Col- lege;1912-14;Canton Christian College;Canton;1907-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tam, W. Way;Hsiangshan, Kwangtung;1886;Oahu College;_;Honolulu;_;Studied;_;Bank of Communications;Peking;1915;English Secretary;Bank of Communications, Peking;1915;Ministry of Finance;_;1916;Commerce;New York University;1909-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yen, Chia-Cheow;Foochow;1883;Naval College;1896-1900;Peiyang University;1902;Tientsin;1896-1900;Professor of Mathematics;Tangshan Railway and Engineering College, Tangshan;1914;Teacher;Government Middle School, Yung-Ping;1905- 6;Vice-Chairman;_;1911-14;Government Middle School;Yung-Ping;1905- 6;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yen, Fengcheng;Hsiangshan, Kwangtung;1914;Iolani School;_;Honolulu;_;_;_;Manager, Branch Office of Commercial Press;Canton;1913-14;teaching;Shanghai;present;Commerce;_;_;Times;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yen, Hawkling;Yu-Yao, Chekiang;1879;St. John's University;_;Shanghai;_;_;_;Ministry of Foreign Affairs;Peking;1913-16;Commissioner of Foreign Affairs;Chekiang;1912-13;Ministry of Foreign Affairs;Peking;1913-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Koo, Kuang-Ping;Nantung, Kiangsu;1889;Nanyang College;_;Shanghai;_;_;_;Engineer;Canton Wireless Station;_;Assistant Manager;Chinese Students' Monthly;1914-15;Engineer;Canton Wireless Station;_;President, Chinese Students' Club;_;1914-15;Associate Member, American Institute of Electrical Engineers;_;1915;Canton Wireless Station;_;1916;1916;_;_;_;_;_;_;_;_;_;_;_
